policy,budget,per_cell,accuracy,acc_last_third,precision,n_retrieved_mean,alpha,seed,eta,k
metric,192,4.0,0.715,0.755,0.5998556998556999,7.64,0.0,1,0.0,8
full,192,4.0,0.7316666666666667,0.83,0.5948051948051948,7.64,0.0,1,0.0,8
oracle,192,4.0,0.935,0.98,1.0,3.32,0.0,1,0.0,8
nomemory,192,4.0,0.36333333333333334,0.345,,0.0,0.0,2,0.0,8
semantic,192,4.0,0.4866666666666667,0.475,0.42874779541446206,7.64,0.0,2,0.0,8
eviction,192,4.0,0.45666666666666667,0.48,0.4016013307679974,7.64,0.0,2,0.0,8
metric,192,4.0,0.7166666666666667,0.775,0.6025693442360109,7.64,0.0,2,0.0,8
full,192,4.0,0.7533333333333333,0.805,0.5859447651114318,7.64,0.0,2,0.0,8
oracle,192,4.0,0.94,0.98,1.0,3.243333333333333,0.0,2,0.0,8
nomemory,192,4.0,0.33666666666666667,0.325,,0.0,0.0,3,0.0,8
semantic,192,4.0,0.47,0.475,0.4470218053551387,7.64,0.0,3,0.0,8
eviction,192,4.0,0.495,0.49,0.43397466730800066,7.64,0.0,3,0.0,8
metric,192,4.0,0.77,0.83,0.6450436908770242,7.64,0.0,3,0.0,8
full,192,4.0,0.7833333333333333,0.865,0.6463063171396505,7.64,0.0,3,0.0,8
oracle,192,4.0,0.9333333333333333,0.98,1.0,3.335,0.0,3,0.0,8
nomemory,192,4.0,0.35333333333333333,0.335,,0.0,0.0,4,0.0,8
semantic,192,4.0,0.4816666666666667,0.485,0.42233245149911813,7.64,0.0,4,0.0,8
eviction,192,4.0,0.5116666666666667,0.57,0.4208593875260542,7.64,0.0,4,0.0,8
metric,192,4.0,0.6833333333333333,0.745,0.5850008016674684,7.64,0.0,4,0.0,8
full,192,4.0,0.7133333333333334,0.78,0.5915243706910374,7.64,0.0,4,0.0,8
oracle,192,4.0,0.9433333333333334,0.98,1.0,3.3866666666666667,0.0,4,0.0,8
nomemory,384,8.0,0.295,0.29,,0.0,0.0,0,0.0,8
semantic,384,8.0,0.5466666666666666,0.575,0.44695566778900114,7.64,0.0,0,0.0,8
eviction,384,8.0,0.5366666666666666,0.535,0.4442199775533109,7.64,0.0,0,0.0,8
metric,384,8.0,0.835,0.965,0.7598765432098765,7.64,0.0,0,0.0,8
full,384,8.0,0.8416666666666667,0.985,0.7613496071829405,7.64,0.0,0,0.0,8
oracle,384,8.0,0.9483333333333334,1.0,1.0,4.95,0.0,0,0.0,8
nomemory,384,8.0,0.30833333333333335,0.28,,0.0,0.0,1,0.0,8
semantic,384,8.0,0.475,0.42,0.411513949013949,7.64,0.0,1,0.0,8
eviction,384,8.0,0.4866666666666667,0.455,0.4150913900913901,7.64,0.0,1,0.0,8
metric,384,8.0,0.8216666666666667,0.96,0.7376924001924001,7.64,0.0,1,0.0,8
full,384,8.0,0.8133333333333334,0.935,0.7383237133237133,7.64,0.0,1,0.0,8
oracle,384,8.0,0.9466666666666667,1.0,1.0,4.901666666666666,0.0,1,0.0,8
nomemory,384,8.0,0.36333333333333334,0.345,,0.0,0.0,2,0.0,8
semantic,384,8.0,0.475,0.445,0.4291686708353375,7.64,0.0,2,0.0,8
eviction,384,8.0,0.49166666666666664,0.495,0.42285553952220617,7.64,0.0,2,0.0,8
metric,384,8.0,0.8266666666666667,0.975,0.7395642937309604,7.64,0.0,2,0.0,8
full,384,8.0,0.82,0.955,0.7408269199935866,7.64,0.0,2,0.0,8
oracle,384,8.0,0.9483333333333334,1.0,1.0,4.945,0.0,2,0.0,8
nomemory,384,8.0,0.33666666666666667,0.325,,0.0,0.0,3,0.0,8
semantic,384,8.0,0.5183333333333333,0.54,0.46070025653358987,7.64,0.0,3,0.0,8
eviction,384,8.0,0.51,0.515,0.45754369087702423,7.64,0.0,3,0.0,8
metric,384,8.0,0.845,0.97,0.7679393137726471,7.64,0.0,3,0.0,8
full,384,8.0,0.8483333333333334,0.98,0.770885441718775,7.64,0.0,3,0.0,8
oracle,384,8.0,0.9433333333333334,1.0,1.0,4.895,0.0,3,0.0,8
nomemory,384,8.0,0.35333333333333333,0.335,,0.0,0.0,4,0.0,8
semantic,384,8.0,0.49166666666666664,0.51,0.4252785794452461,7.64,0.0,4,0.0,8
eviction,384,8.0,0.5,0.525,0.4229637646304313,7.64,0.0,4,0.0,8
metric,384,8.0,0.7983333333333333,0.955,0.7293610710277377,7.64,0.0,4,0.0,8
full,384,8.0,0.795,0.945,0.7255731922398589,7.64,0.0,4,0.0,8
oracle,384,8.0,0.9533333333333334,1.0,1.0,5.006666666666667,0.0,4,0.0,8
