alpha,policy,vote_mean,vote_std,head_mean,head_std,hit_mean,gain_mean
0.0,nomemory,0.33133333333333337,0.02909276351412651,0.33199999999999996,0.06355662392264433,0.0,0.0006666666666666598
0.0,semantic,0.48566666666666664,0.024709422404328996,0.4793333333333333,0.020466775244011685,0.9456666666666667,-0.0063333333333333245
0.0,metric,0.7230000000000001,0.031367003186292576,0.7113333333333334,0.03195917534744742,0.9666666666666666,-0.011666666666666669
0.0,oracle,0.9400000000000001,0.0061237243569579256,0.9396666666666667,0.006055300708194981,0.9096666666666667,-0.000333333333333341
1.0,nomemory,0.33766666666666667,0.013260216187277392,0.3466666666666667,0.06371594951205091,0.0,0.008999999999999998
1.0,semantic,0.6886666666666666,0.012041594578792322,0.717,0.016046806535881246,0.9666666666666666,0.02833333333333332
1.0,metric,0.6923333333333332,0.02290075204975692,0.674,0.022779132751026502,0.9666666666666666,-0.018333333333333313
1.0,oracle,0.9406666666666667,0.004346134936801778,0.9390000000000001,0.005725188012439229,0.9086666666666666,-0.001666666666666683
