policy,space,evict,budget,k,accuracy,acc_last_third,precision,hit_at_k,hit_at_k_no_dup,exact_dup_rate,n_retrieved_mean,alpha,seed,eta,n_steps
full,proj,decision,192,8,0.7133333333333334,0.78,0.5915243706910374,0.9683333333333334,0.9674657534246576,0.02666666666666667,7.64,0.0,4,0.0,600
oracle,orig,fifo,192,8,0.9433333333333334,0.98,1.0,0.905,0.9028960817717206,0.021666666666666667,3.3866666666666667,0.0,4,0.0,600
nomemory,orig,fifo,192,8,0.3433333333333333,0.295,,0.0,0.0,0.0,0.0,0.5,0,0.0,600
semantic,orig,fifo,192,8,0.5233333333333333,0.59,0.45455547538880875,0.9483333333333334,0.9451327433628318,0.058333333333333334,7.64,0.5,0,0.0,600
rand_proj,rand,fifo,192,8,0.5016666666666667,0.53,0.4356160814494148,0.935,0.9309734513274336,0.058333333333333334,7.64,0.5,0,0.0,600
sem_proj,sem,fifo,192,8,0.4633333333333333,0.505,0.4301447009780343,0.925,0.9203539823008849,0.058333333333333334,7.64,0.5,0,0.0,600
metric,proj,fifo,192,8,0.715,0.81,0.6096480679814014,0.9616666666666667,0.95929203539823,0.058333333333333334,7.64,0.5,0,0.0,600
eviction,orig,decision,192,8,0.48,0.535,0.4202541285874619,0.9566666666666667,0.9539007092198581,0.06,7.64,0.5,0,0.0,600
full,proj,decision,192,8,0.7416666666666667,0.83,0.6045975629308963,0.9666666666666667,0.96415770609319,0.07,7.64,0.5,0,0.0,600
oracle,orig,fifo,192,8,0.9516666666666667,0.975,1.0,0.9083333333333333,0.9026548672566371,0.058333333333333334,3.36,0.5,0,0.0,600
nomemory,orig,fifo,192,8,0.33,0.34,,0.0,0.0,0.0,0.0,0.5,1,0.0,600
semantic,orig,fifo,192,8,0.5666666666666667,0.555,0.4723745390412057,0.9333333333333333,0.9285714285714286,0.06666666666666667,7.64,0.5,1,0.0,600
rand_proj,rand,fifo,192,8,0.5616666666666666,0.57,0.4763728555395222,0.94,0.9357142857142857,0.06666666666666667,7.64,0.5,1,0.0,600
sem_proj,sem,fifo,192,8,0.49833333333333335,0.49,0.45406645823312486,0.9216666666666666,0.9160714285714285,0.06666666666666667,7.64,0.5,1,0.0,600
metric,proj,fifo,192,8,0.7333333333333333,0.805,0.6217853134519801,0.9633333333333334,0.9607142857142857,0.06666666666666667,7.64,0.5,1,0.0,600
eviction,orig,decision,192,8,0.5533333333333333,0.58,0.446701138367805,0.9483333333333334,0.945518453427065,0.051666666666666666,7.64,0.5,1,0.0,600
full,proj,decision,192,8,0.7583333333333333,0.815,0.6085277376944044,0.9666666666666667,0.9646643109540636,0.056666666666666664,7.64,0.5,1,0.0,600
oracle,orig,fifo,192,8,0.94,0.995,1.0,0.9116666666666666,0.9053571428571429,0.06666666666666667,3.4,0.5,1,0.0,600
nomemory,orig,fifo,192,8,0.30666666666666664,0.315,,0.0,0.0,0.0,0.0,0.5,2,0.0,600
semantic,orig,fifo,192,8,0.5416666666666666,0.56,0.45628707712041044,0.9466666666666667,0.9433628318584071,0.058333333333333334,7.64,0.5,2,0.0,600
rand_proj,rand,fifo,192,8,0.54,0.59,0.45628707712041044,0.9433333333333334,0.9398230088495575,0.058333333333333334,7.64,0.5,2,0.0,600
sem_proj,sem,fifo,192,8,0.47333333333333333,0.54,0.4400833734167068,0.9283333333333333,0.9238938053097345,0.058333333333333334,7.64,0.5,2,0.0,600
metric,proj,fifo,192,8,0.7016666666666667,0.735,0.6103274811608145,0.965,0.9628318584070796,0.058333333333333334,7.64,0.5,2,0.0,600
eviction,orig,decision,192,8,0.5233333333333333,0.54,0.4261944845278179,0.9616666666666667,0.9596491228070175,0.05,7.64,0.5,2,0.0,600
full,proj,decision,192,8,0.7516666666666667,0.85,0.6038039121372455,0.9683333333333334,0.9665492957746479,0.05333333333333334,7.64,0.5,2,0.0,600
oracle,orig,fifo,192,8,0.945,1.0,1.0,0.91,0.904424778761062,0.058333333333333334,3.4583333333333335,0.5,2,0.0,600
nomemory,orig,fifo,192,8,0.32666666666666666,0.305,,0.0,0.0,0.0,0.0,0.5,3,0.0,600
semantic,orig,fifo,192,8,0.5666666666666667,0.61,0.48604497354497356,0.9566666666666667,0.9537366548042705,0.06333333333333334,7.64,0.5,3,0.0,600
rand_proj,rand,fifo,192,8,0.5533333333333333,0.645,0.4803631553631554,0.9633333333333334,0.9608540925266904,0.06333333333333334,7.64,0.5,3,0.0,600
sem_proj,sem,fifo,192,8,0.5566666666666666,0.635,0.4805735930735931,0.9466666666666667,0.9430604982206405,0.06333333333333334,7.64,0.5,3,0.0,600
metric,proj,fifo,192,8,0.6983333333333334,0.78,0.6293530543530543,0.9733333333333334,0.9715302491103203,0.06333333333333334,7.64,0.5,3,0.0,600
eviction,orig,decision,192,8,0.5266666666666666,0.545,0.45153318903318906,0.965,0.9630281690140845,0.05333333333333334,7.64,0.5,3,0.0,600
full,proj,decision,192,8,0.745,0.875,0.6232503607503608,0.9733333333333334,0.9714795008912656,0.065,7.64,0.5,3,0.0,600
oracle,orig,fifo,192,8,0.935,0.975,1.0,0.9016666666666666,0.895017793594306,0.06333333333333334,3.3583333333333334,0.5,3,0.0,600
nomemory,orig,fifo,192,8,0.34833333333333333,0.355,,0.0,0.0,0.0,0.0,0.5,4,0.0,600
semantic,orig,fifo,192,8,0.5383333333333333,0.6,0.45042087542087544,0.9383333333333334,0.9341637010676157,0.06333333333333334,7.64,0.5,4,0.0,600
rand_proj,rand,fifo,192,8,0.53,0.58,0.4510521885521886,0.9383333333333334,0.9341637010676157,0.06333333333333334,7.64,0.5,4,0.0,600
sem_proj,sem,fifo,192,8,0.505,0.545,0.4470538720538721,0.93,0.9252669039145908,0.06333333333333334,7.64,0.5,4,0.0,600
metric,proj,fifo,192,8,0.7133333333333334,0.805,0.5777356902356903,0.965,0.9626334519572953,0.06333333333333334,7.64,0.5,4,0.0,600
eviction,orig,decision,192,8,0.515,0.515,0.4171717171717172,0.9633333333333334,0.9611307420494699,0.056666666666666664,7.64,0.5,4,0.0,600
full,proj,decision,192,8,0.7183333333333334,0.8,0.5760521885521885,0.9666666666666667,0.9645390070921985,0.06,7.64,0.5,4,0.0,600
oracle,orig,fifo,192,8,0.945,1.0,1.0,0.9183333333333333,0.9128113879003559,0.06333333333333334,3.2533333333333334,0.5,4,0.0,600
nomemory,orig,fifo,192,8,0.33166666666666667,0.315,,0.0,0.0,0.0,0.0,1.0,0,0.0,600
semantic,orig,fifo,192,8,0.6816666666666666,0.765,0.5799623216289883,0.965,0.958,0.16666666666666666,7.64,1.0,0,0.0,600
rand_proj,rand,fifo,192,8,0.6766666666666666,0.75,0.5784892576559244,0.96,0.952,0.16666666666666666,7.64,1.0,0,0.0,600
sem_proj,sem,fifo,192,8,0.61,0.665,0.5652316818983486,0.9566666666666667,0.948,0.16666666666666666,7.64,1.0,0,0.0,600
metric,proj,fifo,192,8,0.6983333333333334,0.76,0.6012165303831971,0.965,0.958,0.16666666666666666,7.64,1.0,0,0.0,600
eviction,orig,decision,192,8,0.73,0.83,0.5664943081609749,0.9683333333333334,0.9616935483870968,0.17333333333333334,7.64,1.0,0,0.0,600
full,proj,decision,192,8,0.735,0.805,0.5986912778579446,0.9666666666666667,0.9596774193548387,0.17333333333333334,7.64,1.0,0,0.0,600
oracle,orig,fifo,192,8,0.9433333333333334,0.99,1.0,0.9133333333333333,0.896,0.16666666666666666,3.3066666666666666,1.0,0,0.0,600
nomemory,orig,fifo,192,8,0.35,0.335,,0.0,0.0,0.0,0.0,1.0,1,0.0,600
semantic,orig,fifo,192,8,0.6716666666666666,0.765,0.5625941959275292,0.9633333333333334,0.954070981210856,0.20166666666666666,7.64,1.0,1,0.0,600
